"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0001",1215.11039243994,-1.16624822823543,0.104712292123201,-11.1376439631677,8.22669208881345e-29,4.90651263338336e-28
"b0002",12775.7253291888,1.61372945046092,0.146144073902783,11.042045068036,2.39518730199548e-28,1.40717253992234e-27
"b0003",4267.13531990196,1.3820474867477,0.11988699487435,11.5279183384,9.54231252232631e-31,6.11273471800577e-30
"b0004",4155.2812945631,1.11559246201621,0.0868047613719445,12.8517427429594,8.40941187947214e-38,6.3570449242723e-37
"b0005",113.394582429781,1.75898658797292,0.12891533511033,13.6445100690893,2.17671469984862e-42,1.80308704255659e-41
"b0006",440.854960007732,-0.290429428568055,0.0652724419339523,-4.44949537604145,8.60722828937776e-06,1.89210244653124e-05
"b0007",189.769197637193,-0.101016908487663,0.0852431960654922,-1.18504365333806,0.236000187626399,0.296819316840183
"b0008",14093.6910427081,0.651284203140809,0.0621475081206479,10.4796511209502,1.07138236963038e-25,5.7980692944703e-25
"b0009",331.34002816243,0.621836248940783,0.0760597750675832,8.17562566268764,2.94334490475632e-16,1.12330303337743e-15
"b0010",367.491081664663,-0.458878244053409,0.0781075686034006,-5.8749523542771,4.22964981658994e-09,1.13314781951269e-08
"b0011",44.6810813477301,0.0438191502055485,0.158495915128167,0.276468640659379,0.782188142473902,0.830186923921735
"b0012",3.30604112170904,1.54624726691167,0.622875932966414,2.48243219086624,0.0130488900811467,0.0205549729365676
"b0013",7.38360579712719,1.05142514547254,0.388894613195265,2.70362486338843,0.00685876734063141,0.0112083560018482
"b0014",18637.2526517132,0.636748590237953,0.0605979782094307,10.5077530480853,7.95666685661748e-26,4.33307650982544e-25
"b0015",2152.39814105682,0.35169711269772,0.0656905745508381,5.35384436964455,8.61049260540021e-08,2.14716090113901e-07
"b0016",940.669285613431,1.39102956108751,0.0794708242594255,17.5036508561509,1.34373239912246e-68,1.79330212771775e-67
"b0018",78.0011418624686,-0.075274811951719,0.164700649241914,-0.457040165282863,0.647642176225149,0.711952797842453
"b4412",0,NA,NA,NA,NA,NA
"b0019",1618.35419452677,-1.2259607519836,0.0557548660319759,-21.9884081737458,3.71802818201029e-107,8.9814267368785e-106
"b0020",637.39637531033,-0.379729021163261,0.0615845170572759,-6.16598195955809,7.00470709256119e-10,1.970615059742e-09
"b0021",34.1121504748018,-2.30819849524373,0.275526151083202,-8.37742074996979,5.41001691275398e-17,2.14024822788181e-16
"b0022",94.725315382564,-2.09587104527875,0.131475306898342,-15.9411762917526,3.28118799487462e-57,3.65666414686542e-56
"b0023",3929.99200313472,-0.560405106209747,0.0508470461161423,-11.0213896187735,3.01370224062072e-28,1.76575182770244e-27
"b0024",97.7737457113559,0.461726918418253,0.121981875035967,3.78520922294489,0.000153579314609616,0.000299673716774358
"b0025",3115.15520991064,0.0566995538705528,0.0455446443407706,1.24492253021716,0.213160228248719,0.271809149792822
"b0026",10219.0806469063,0.247520687651421,0.0479167029612335,5.16564522086746,2.39610905977981e-07,5.80110614473007e-07
"b0027",884.846589288612,0.0949664795096543,0.056836754501,1.6708638686958,0.0947485696208821,0.130143842134909
"b0028",1037.20309639403,0.380077539355157,0.0507588224606125,7.48791088780846,6.99785109819084e-14,2.38445296679095e-13
"b0029",1185.83274073761,0.379196690563764,0.0445780616444461,8.5063521511597,1.79491237564177e-17,7.21972196490701e-17
"b0030",708.743190741695,0.965550018821573,0.127055969735919,7.59940694505291,2.97490908016693e-14,1.03072971655784e-13
"b0031",792.25113531907,-0.561835794216725,0.101822495736523,-5.51779633913647,3.43276919071458e-08,8.77782021327609e-08
