"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0001",587.008429694215,-0.385702075826664,0.205733981653005,-1.87476114897342,0.060825590234458,0.588943043668856
"b0002",15548.5958303791,-0.156431235858476,0.327735031709671,-0.477310085047768,0.633141330587088,0.865940371836783
"b0003",4258.42318193159,-0.264503708549075,0.393384394009196,-0.672379770466674,0.50134195794204,0.808350842362006
"b0004",4319.03914538888,-0.113008505273825,0.291718486286962,-0.387388906038198,0.69846831559933,0.892636317070222
"b0005",161.420243479954,0.228129323208263,0.187532909880321,1.21647620864973,0.223803568687742,0.665632235807226
"b0006",413.043557201627,0.126039522165182,0.13452413220034,0.936928713856915,0.348795227938046,0.737392913996672
"b0007",186.527085284829,0.194432526450367,0.118664077080943,1.63851210267907,0.101314911462523,0.601058931457752
"b0008",16584.7095454657,0.0932286464472721,0.0599236833797422,1.55578965092104,0.119758119861226,0.615886773935971
"b0009",310.678795121564,-0.180167120778472,0.149645706252735,-1.20395783674668,0.228605875448417,0.665632235807226
"b0010",353.126504434862,0.144246678422936,0.171843504732877,0.839407219069243,0.401240834193635,0.759189361615086
"b0011",37.7345737766934,0.01911872246927,0.23202576440302,0.0823991357962364,0.934329323249254,0.982509004758292
"b0012",4.64200969791786,0.298097316793392,0.580089893318515,0.513881245349871,0.607335020565327,0.852890391378192
"b0013",9.22819560284261,0.0534240873127631,0.431852723849036,0.123709043297452,0.901545651151826,0.970756028965889
"b0014",20278.2364637298,-0.126486240394587,0.0617713443469241,-2.04765238205286,0.0405940727838852,0.588943043668856
"b0015",1887.09900744628,-0.197845443376884,0.129609521716188,-1.52647306121625,0.126892094386819,0.618166754857846
"b0016",1083.55134459478,-0.430415126642563,0.0801356500172796,-5.37108174139416,7.82657197227178e-08,8.46443758801193e-05
"b0018",157.977720121223,0.430221484406276,0.528999189005021,0.813274374230076,0.416060765909717,0.766884905549824
"b4412",0,NA,NA,NA,NA,NA
"b0019",1263.46526124421,0.264549968839064,0.220872060907403,1.19775207308802,0.231013550391452,0.665632235807226
"b0020",517.373462920117,-0.00852903619745955,0.0744325461691829,-0.114587457186717,0.908772121933057,0.97455334642598
"b0021",8.17879222949655,-0.958681540540285,0.511300423415336,-1.8749867917898,0.060794540640204,0.588943043668856
"b0022",36.4391986695281,0.153350230985101,0.226461472810047,0.677158145631815,0.498305620133772,0.80829260069297
"b0023",3293.10027196548,0.15761027455626,0.132579602114207,1.18879731152377,0.234519436240377,0.666990359199373
"b0024",104.629919255137,0.0360755037830607,0.138354625178425,0.260746641007028,0.794287895510107,0.934227687867515
"b0025",3283.18893954706,0.20148337245399,0.0917332441493007,2.19640517810605,0.028062955368498,0.588943043668856
"b0026",9428.29549136273,-0.0486400448314793,0.0679653466681762,-0.715659482602983,0.47420163496538,0.79112852790599
"b0027",927.592595259545,0.139365843501317,0.0902891908788173,1.54354958932314,0.122697485355333,0.617182808593315
"b0028",856.905691615716,-0.29403530584008,0.173063379381159,-1.69900360718422,0.0893185039578088,0.600920448089395
"b0029",1159.92146450789,0.0386434746017461,0.0747586282281292,0.516909894117156,0.605219060505084,0.852071934376891
"b0030",765.746914737971,-0.279070168508212,0.154039000254412,-1.81168514497821,0.0700348602435617,0.588943043668856
"b0031",473.50687026735,-0.279742764040673,0.178098418323806,-1.57072009214627,0.1162476800761,0.614783864656198
"b0032",3067.33048789914,-0.0692045683115381,0.413099743182578,-0.16752508190486,0.866956913883039,0.961162380691447
"b0033",4218.69929005134,-0.29496208915456,0.186473390517079,-1.58179184888873,0.113697096424792,0.611711309145355
"b0034",229.004469546251,-0.250356456404211,0.140534673928335,-1.78145684197396,0.0748378493699595,0.588943043668856
"b0035",17.7217157367055,0.159220171695492,0.34759033547241,0.458068465796369,0.646903253485521,0.870838586219309
"b0036",11.0700460699028,-0.663166805837159,0.397481193595227,-1.66842310157821,0.0952317654760508,0.601058931457752
"b0037",129.100543129874,0.0431599147614127,0.129927566692556,0.332184430603098,0.739749999480972,0.912307650544989
"b0038",105.863105186186,-0.371717183800171,0.207064061282804,-1.79517962459206,0.072625085710423,0.588943043668856
"b0039",214.219340570396,-0.172232004616835,0.117678365521201,-1.46358256977834,0.143308037888054,0.625632736693094
"b0040",37.0851764139548,0.308032550486566,0.273551940975696,1.126047760392,0.260145304010524,0.6772677467606
"b0041",10.7751750003758,-0.0606843427976806,0.390339355472236,-0.155465601781978,0.876454269995081,0.965751699439307
"b0042",11.9099891743084,-0.836494158778238,0.439101893975887,-1.90501150246502,0.0567785759237907,0.588943043668856
"b0043",19.6182763413634,0.293608066556339,0.287600025573124,1.02089026581706,0.307306431504487,0.70488209050287
"b0044",3.48748372915798,0.215684945011952,0.62602567059117,0.344530512316333,0.730447353472738,0.908021623885938
"b0045",23.0887907153193,0.0884028291658121,0.264334473348485,0.334435490180149,0.738050962305361,0.912307650544989
"b0046",108.398980037846,-0.00205884201244851,0.130834815662338,-0.0157361937801176,0.987444852106445,0.996201966933262
