"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0001",587.008429694215,0.242555768339529,0.204825232118962,1.18420843872718,0.236330562481868,0.506347829955611
"b0002",15548.5958303791,0.490336793649218,0.327678529372036,1.49639585660037,0.134550528658436,0.388003065246644
"b0003",4258.42318193159,-0.0124742455217783,0.393227566574484,-0.0317227137213318,0.974693181070386,0.986596272953661
"b0004",4319.03914538888,0.0946731585310005,0.291535384098463,0.324739855588253,0.745377967623712,0.877617297278049
"b0005",161.420243479954,0.357695858901873,0.186452466211635,1.91842921774962,0.055056609231469,0.294913170974247
"b0006",413.043557201627,0.0833142712406914,0.133373385086684,0.624669391022376,0.532188066437576,0.737991195380214
"b0007",186.527085284829,0.0717223518482906,0.122892953307722,0.583616472042128,0.559478375398429,0.758002076404598
"b0008",16584.7095454657,0.0786229265970345,0.0598310574476624,1.31408218325091,0.18881854918422,0.45194934916124
"b0009",310.678795121564,-0.217154731025117,0.147242616486714,-1.47480896636139,0.140263909940619,0.394878106605785
"b0010",353.126504434862,0.187672602384806,0.17207600195733,1.09063785914403,0.27543226380673,0.544970886077419
"b0011",37.7345737766934,-0.0776468672628931,0.241945224002679,-0.320927464400097,0.748265360336972,NA
"b0012",4.64200969791786,-0.545448499645577,0.592144949214855,-0.921140170778802,0.356977249733197,NA
"b0013",9.22819560284261,-0.382435865980072,0.435697860600277,-0.877754748332196,0.380076826501814,NA
"b0014",20278.2364637298,0.124080514012035,0.061735033227306,2.0098881870716,0.0444430242963997,0.273155113313254
"b0015",1887.09900744628,-0.135778039199279,0.129665030674832,-1.04714461942926,0.295032882916636,0.565690940741019
"b0016",1083.55134459478,-0.403990414299489,0.0813179274141328,-4.96803628850576,6.76343080161482e-07,0.000392414255109692
"b0018",157.977720121223,0.441224611758524,0.529053562672099,0.833988546509401,0.404287438039822,0.643709032795567
"b4412",0,NA,NA,NA,NA,NA
"b0019",1263.46526124421,0.381514437212878,0.221193709100162,1.72479786502481,0.0845639066525581,0.327872899676398
"b0020",517.373462920117,0.133177047015426,0.0769586949870051,1.73050032927291,0.0835409224539082,0.327362350372169
"b0021",8.17879222949655,-0.383595036043918,0.48719808450325,-0.787349228671606,0.431077459051098,NA
"b0022",36.4391986695281,-0.0654556374754358,0.222150762062673,-0.294645117881565,0.768264992283422,NA
"b0023",3293.10027196548,0.225058433219729,0.13239050253459,1.69995905228117,0.0891386279755227,0.33275203983554
"b0024",104.629919255137,0.108281888081499,0.1395544096252,0.77591162022261,0.437801171023832,NA
"b0025",3283.18893954706,0.137212356320253,0.0916915713758381,1.49645550034068,0.134534995873542,0.388003065246644
"b0026",9428.29549136273,-0.095681861345559,0.0679602518985316,-1.40790916267375,0.15915796957848,0.416774602870361
"b0027",927.592595259545,0.136627270661741,0.0910345141160722,1.50082935014665,0.133399705260519,0.386992544960767
"b0028",856.905691615716,-0.208217433842633,0.173068884610716,-1.20308993907817,0.228941518282685,0.497624321348772
"b0029",1159.92146450789,-0.19960792888853,0.0754593209542693,-2.6452388699535,0.00816332673602856,0.163490869862157
"b0030",765.746914737971,-0.043127583443908,0.153631808535181,-0.280720404551067,0.778924857238897,0.899546580752405
"b0031",473.50687026735,-0.227108489600647,0.178778666766712,-1.27033327693958,0.20396593946739,0.471154835259387
"b0032",3067.33048789914,-1.20956069795205,0.413208037276889,-2.92724387919282,0.00341980600950411,0.118289096340663
"b0033",4218.69929005134,-0.859955574346117,0.186732001543866,-4.60529297193926,4.11885573140901e-06,0.00199146674613625
"b0034",229.004469546251,-0.039772092028766,0.137570149753022,-0.289104083263471,0.7725017289691,0.896041782503643
"b0035",17.7217157367055,0.540026349424929,0.357214744504522,1.51176948245509,0.130592515491972,NA
"b0036",11.0700460699028,-0.0869406419441322,0.395169704350785,-0.220008368523505,0.825864637240553,NA
"b0037",129.100543129874,0.0347951021433718,0.125959009708298,0.276241471125821,0.782362606605251,NA
"b0038",105.863105186186,-0.385064297326846,0.202045750487347,-1.90582725149154,0.0566726220378312,NA
"b0039",214.219340570396,-0.0854380465356499,0.11368953549301,-0.751503171907174,0.452349892567077,0.686019206576043
"b0040",37.0851764139548,0.209619974288762,0.274032829903294,0.764944749002287,0.444304445645256,NA
"b0041",10.7751750003758,0.140242900325805,0.406789830350357,0.344755177888833,0.730278432286553,NA
"b0042",11.9099891743084,-0.181819199270956,0.380190534137797,-0.478231788919439,0.632485239207437,NA
"b0043",19.6182763413634,0.29185424256605,0.296037081925681,0.985870556038378,0.324196637158523,NA
"b0044",3.48748372915798,-0.585036308653236,0.715075345718298,-0.818146384372354,0.41327360574008,NA
"b0045",23.0887907153193,-0.153601487107645,0.283998585846498,-0.540852999847919,0.588608908558333,NA
"b0046",108.398980037846,-0.0588445409424007,0.135621779956144,-0.433887101035169,0.664370427048178,NA
"b0047",234.058032142945,0.0440014379279707,0.1064601796928,0.413313579358411,0.679376882098217,0.83582372136002
"b0048",571.766518614397,0.241547981764698,0.100059085938269,2.41405345151485,0.0157761477974535,0.195738901922275
"b0049",994.253974902899,-0.13026360561162,0.0806924399765579,-1.61432230391674,0.106457534685994,0.356033831760034
"b0050",1127.61332987245,-0.106429707478625,0.0839956527210619,-1.26708590302957,0.205124575576537,0.472274915672646
