"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0001",587.008429694215,0.491989469138639,0.237256633912518,2.07365948435417,0.0381109465158829,0.200686155000303
"b0002",15548.5958303791,1.00779343499078,0.378403163688595,2.6632796226306,0.00773830807960858,0.0676741028290927
"b0003",4258.42318193159,0.752828968458716,0.454173498379561,1.65758013434232,0.0974022421188908,0.356171264445123
"b0004",4319.03914538888,0.683581804511377,0.336755807558661,2.02990353593917,0.0423663456052954,0.215282465648384
"b0005",161.420243479954,0.148280178554448,0.215038642570925,0.689551314041341,0.490476393160345,0.794866999174226
"b0006",413.043557201627,0.170300976592054,0.154643671942883,1.10124762592907,0.270788898826011,0.613649057624091
"b0007",186.527085284829,-0.299027143932819,0.139307655727374,-2.14652340800291,0.0318312432694781,0.17926517068235
"b0008",16584.7095454657,0.25683769461189,0.0691414200399837,3.71467196455271,0.000203467465753797,0.00433490021680795
"b0009",310.678795121564,0.283096595109724,0.172328563549697,1.64277232559931,0.100430048086379,0.363682561334771
"b0010",353.126504434862,-0.016999568647021,0.198402756159671,-0.0856821194224742,0.931719116483041,0.977875700110775
"b0011",37.7345737766934,-0.260722242063407,0.275792179379217,-0.945357633600302,0.344476323827777,0.681384376290213
"b0012",4.64200969791786,-0.329184112349611,0.687980059580057,-0.478479147419687,0.632309212563291,NA
"b0013",9.22819560284261,-0.158704714964492,0.510132918078644,-0.311104634380849,0.755721078129609,NA
"b0014",20278.2364637298,0.211939612937064,0.0713176102824535,2.97177109689566,0.00296087344664355,0.0344055294423048
"b0015",1887.09900744628,-0.00718459021786337,0.149845645614669,-0.047946606579004,0.961758795400247,0.988047926434511
"b0016",1083.55134459478,-0.230368650290058,0.0940959118917304,-2.4482322946732,0.0143559067165901,0.103552134674574
"b0018",157.977720121223,-0.00297942359706384,0.610316759043842,-0.00488176598940454,0.996104929758593,0.999030422781728
"b4412",0,NA,NA,NA,NA,NA
"b0019",1263.46526124421,-0.20887114042855,0.255113136849726,-0.818739258227951,0.412935193103022,0.735208671579534
"b0020",517.373462920117,-0.216047847924403,0.087526256055041,-2.46837757790692,0.0135727069435939,0.0994031774815319
"b0021",8.17879222949655,0.359340944848618,0.605815421216929,0.593152521813976,0.553079083511047,NA
"b0022",36.4391986695281,0.0332991107591523,0.259852312648587,0.128146293637897,0.898033200999502,0.966263583477527
"b0023",3293.10027196548,0.263875320428777,0.152950500532968,1.72523345467509,0.0844854089167864,0.327787251131675
"b0024",104.629919255137,-0.0164489134831479,0.160701985568081,-0.10235662879336,0.918473608009634,0.97540113173925
"b0025",3283.18893954706,0.0210364524581919,0.10586610318981,0.198708102257009,0.842491085729484,0.952214397865621
"b0026",9428.29549136273,0.00353247932740755,0.0785135623752363,0.0449919634333356,0.964113714720224,0.988986287942782
"b0027",927.592595259545,-0.168144604423392,0.10462113164096,-1.60717631119144,0.108015696988602,0.378614312638202
"b0028",856.905691615716,0.0324811724201981,0.200178181971268,0.162261301907818,0.871100087387567,0.958923591643548
"b0029",1159.92146450789,-0.225959025303945,0.0870251201001269,-2.59648047648733,0.00941842580272189,0.0772674717678235
"b0030",765.746914737971,0.204175935647307,0.17794959282068,1.14738074086551,0.251224297330486,0.59617038404373
"b0031",473.50687026735,-0.120469438324033,0.206642976382752,-0.582983464683045,0.55990443159636,0.834834103741375
"b0032",3067.33048789914,-0.549578735557731,0.477162573789232,-1.15176412767127,0.249418012451504,0.594837842546537
"b0033",4218.69929005134,-0.582102672422877,0.215610097118676,-2.69979319244255,0.00693825906580653,0.0637970301266486
"b0034",229.004469546251,0.318007010641272,0.161688063682078,1.96679336371148,0.0492070379712526,0.238275235015678
"b0035",17.7217157367055,-0.0253794964822243,0.401116795160449,-0.0632720863061154,0.949549843114196,0.984041488269333
"b0036",11.0700460699028,0.187763783951864,0.473186683478996,0.396806990787175,0.691509795171507,NA
"b0037",129.100543129874,0.184666204322517,0.148244351201977,1.24568796601846,0.212878973334308,0.549195951602864
"b0038",105.863105186186,0.271794077484534,0.239449617774734,1.13507835180688,0.256342491069977,0.601427065688154
"b0039",214.219340570396,0.294189041034712,0.134914593732612,2.18055758754881,0.0292161550295349,0.170005115187081
"b0040",37.0851764139548,-0.0422709410443722,0.313964918025893,-0.134635873683461,0.892899776731516,0.963657276187121
"b0041",10.7751750003758,-0.119707726755166,0.462061722384708,-0.259073021970642,0.795578899687469,NA
"b0042",11.9099891743084,0.832184548165773,0.494896946240899,1.68153098233242,0.0926598237187336,NA
"b0043",19.6182763413634,-0.134075142040751,0.332402718096157,-0.403351521337336,0.686689644857148,0.895261055668112
"b0044",3.48748372915798,-0.75515950240515,0.796693595523171,-0.947866917279853,0.343197208682836,NA
"b0045",23.0887907153193,-0.399085718270853,0.320040944743447,-1.24698331518416,0.212403615438424,0.549195951602864
"b0046",108.398980037846,-0.195408504071249,0.155146848759083,-1.25950675527213,0.207847351789516,0.547245472376941
"b0047",234.058032142945,-0.26578407153154,0.120878776441666,-2.19876540245923,0.027894607759899,0.165133830481941
"b0048",571.766518614397,0.1514025441887,0.115703068310339,1.30854389948077,0.190688894892838,0.522958138576268
"b0049",994.253974902899,-0.0994831549477728,0.0932786571904569,-1.06651572765083,0.286190572905625,0.63043062069973
"b0050",1127.61332987245,-0.187625514905221,0.0968434893558005,-1.93740969220853,0.0526952828038078,0.248708723653033
"b0051",1824.00353994099,-0.0989326183140295,0.131890020369889,-0.750114512353324,0.453185739803372,0.766605789056766
"b0052",1350.84826557144,-0.162152577617972,0.0840955622359946,-1.92819422697869,0.0538309720093822,0.251518555645777
"b0053",4237.27047545884,-0.0555347328181644,0.0918493989045392,-0.604628157402344,0.545426093272973,0.825153919502405
"b0054",9997.14632375442,0.0266216840148044,0.0670623309102257,0.39696926208011,0.691390127543138,0.895760292418365
"b0055",519.633963157978,-0.0318723355841618,0.164749468718442,-0.193459413448136,0.846599188949344,0.952271265029676
"b0056",362.995664750081,0.0156175809128161,0.108141360853203,0.144418202153163,0.88517024423916,0.961918938164882
