	PD_117_R10_S05#	PD_117_R11_S05#	PD_117_R12_S05#	PD_117_R13_S05#	PD_117_R14_S05#	PD_117_R15_S05#	PD_117_R16_S05#	PD_117_R5_S05#1	PD_117_R6_S05#1	PD_117_R7_S05#1	PD_117_R8_S05#1	PD_117_R9_S05#1
b0001	1697	851	816	716	863	705	558	1686	1621	1715	1484	1903
b0002	5824	18921	14040	14809	30383	20090	18311	6369	6703	7001	6212	5432
b0003	2199	5286	4213	4259	7804	8052	8059	2170	2351	2433	2359	2391
b0004	2535	4549	4344	4073	7100	7184	7412	2382	2343	2465	2819	2974
b0005	56	158	141	176	191	216	175	48	65	53	45	44
b0006	515	358	382	350	413	414	473	435	423	479	523	544
b0007	197	202	181	197	189	170	163	181	203	223	196	181
b0008	11652	14844	15216	15660	19504	19142	19730	11016	11002	11066	10411	10632
b0009	253	328	349	340	460	480	473	236	244	259	304	269
b0010	452	353	323	300	307	271	309	433	430	380	412	452
b0011	48	44	47	48	39	56	39	49	50	42	34	42
b0012	3	3	4	3	5	7	8	3	1	2	1	0
b0013	8	11	10	7	11	12	9	2	5	5	5	4
b0014	14797	23281	22293	24127	24393	20745	21640	13627	14994	14104	14329	15923
b0015	1742	2353	2532	2646	2418	2214	2357	1752	2012	1876	1970	2018
b0016	561	1437	1422	1635	1131	1296	1280	497	533	492	518	511
b0018	61	64	89	110	64	66	65	94	79	68	83	94
b4412	0	0	0	0	0	0	0	0	0	0	0	0
b0019	1838	1075	1166	1057	864	843	824	2580	2501	2582	1994	2130
b0020	698	621	565	640	544	483	484	738	753	749	690	701
b0021	32	18	14	6	12	12	7	52	56	57	69	75
b0022	157	38	27	29	36	52	35	154	148	144	166	155
b0023	5176	2782	2924	2731	3479	3372	3884	4529	4076	4265	4982	5140
b0024	83	128	111	106	125	124	88	92	88	68	83	81
b0025	3296	3091	2884	2981	3273	3442	3486	3138	3094	2996	2991	2857
b0026	8546	10850	10394	11139	11242	11129	12018	9726	10206	9832	8871	9092
b0027	704	932	922	949	870	908	915	897	932	924	842	852
b0028	981	1234	1147	1181	1132	1184	1185	862	933	896	819	933
b0029	1030	1245	1336	1382	1339	1396	1373	1065	1064	1058	989	998
b0030	598	893	1015	1154	948	840	775	430	449	372	502	544
b0031	846	798	662	663	526	655	557	905	932	874	1083	1030
b0032	5417	3551	3031	3188	2222	8162	9135	4529	4730	4264	5313	5132
b0033	6362	6360	5646	5927	4280	6194	7644	7115	7010	6998	6038	6240
b0034	146	257	229	215	282	236	216	156	135	147	134	132
b0035	12	16	20	16	17	9	21	11	14	7	15	20
b0036	11	12	16	22	10	15	13	14	5	12	8	6
b0037	62	123	113	133	156	142	143	44	56	51	53	53
b0038	69	136	134	141	153	157	187	58	73	57	68	79
b0039	159	260	187	228	239	313	271	98	110	122	139	139
b0040	21	34	27	30	40	29	19	12	16	12	24	22
b0041	11	21	11	9	5	11	13	17	7	11	13	10
b0042	14	15	18	16	21	16	15	14	13	9	11	14
b0043	19	32	21	20	22	27	16	23	22	14	13	23
b0044	4	6	4	5	7	4	4	5	2	6	3	6
b0045	12	21	22	30	17	20	22	17	8	11	18	18
b0046	202	111	146	133	121	110	119	224	213	231	201	197
b0047	383	252	284	296	206	227	240	470	466	456	401	407
b0048	1047	542	542	549	511	615	610	910	839	870	920	907
b0049	819	1199	1114	1214	1129	1223	1256	927	948	1012	845	819
b0050	1151	1365	1255	1380	1354	1322	1331	1117	1139	1096	1060	1103
b0051	1968	2324	2261	2298	2194	2478	2542	1994	2110	1924	1750	1857
b0052	1269	1518	1320	1469	1253	1564	1463	1206	1269	1305	1257	1314
b0053	3967	4176	4344	4444	4055	3947	4147	4397	4406	4483	3856	4282
b0054	10830	10375	9687	10108	11035	10841	10634	10708	10950	10400	10646	10546
b0055	443	468	441	456	432	484	472	465	461	478	464	443
b0056	569	404	372	381	389	419	367	485	526	523	481	494
b0057	275	85	48	64	59	103	64	162	196	211	195	206
b0058	377	278	310	298	262	277	290	421	431	365	333	392
b0059	1523	1323	1243	1383	1498	1668	1702	1496	1597	1515	1514	1667
b0060	561	464	412	449	477	473	453	569	582	567	554	567
b0061	2	2	0	0	0	1	1	2	1	3	0	2
b0062	0	0	0	0	0	0	0	0	0	0	0	0
b0063	0	0	0	0	0	0	0	0	0	0	0	0
b0064	810	678	690	660	624	446	439	809	807	750	787	773
b0065	519	494	400	431	366	330	339	647	719	609	593	584
b0066	33	39	55	65	40	39	36	35	37	35	29	41
b0067	61	109	107	100	55	65	63	59	76	88	68	53
b0068	188	244	243	252	174	203	206	172	170	162	183	157
b0069	413	519	427	450	465	490	524	446	442	437	393	376
b4662	358	216	204	127	165	149	160	269	237	230	267	264
b0070	480	434	430	406	398	421	368	530	536	530	454	489
b0071	6275	1466	1269	1423	2208	2159	2116	3584	3772	3314	5572	5200
b0072	11087	3331	3013	3384	5167	5091	5121	6866	7537	6912	11181	10304
b0073	11671	2422	2335	2650	3970	4823	5378	5457	6043	5431	11401	11386
b0074	13199	2812	2571	3048	4471	13683	13023	7281	7850	7097	13080	13907
b0075	202	61	67	61	47	168	109	191	190	186	210	283
b0076	136	81	92	87	76	76	87	144	156	156	151	143
b4726	0	0	0	0	0	0	0	0	0	0	0	0
b0077	2714	1990	1855	1961	2029	1939	1764	3420	3753	3724	3593	3265
b0078	1318	892	974	987	1043	945	825	1724	1759	1687	1448	1375
b0080	2307	2271	2194	2437	2541	2275	2162	2215	2268	2116	2418	2365
b0081	1770	1679	1521	1476	1479	1609	1501	1461	1405	1445	1627	1472
b0082	1787	1550	1614	1517	1598	1692	1682	1649	1508	1551	1643	1689
b0083	578	535	482	499	390	460	481	599	529	555	502	464
b0084	1654	1465	1338	1325	1276	1408	1325	1605	1562	1509	1473	1472
b0085	1358	1548	1556	1456	1666	1565	1521	1466	1330	1382	1360	1459
b0086	1423	1834	1658	1686	1777	1899	1785	1503	1472	1438	1439	1495
b0087	1026	1205	1091	983	1076	1044	1097	1172	1195	1238	1156	1146
b0088	1340	1549	1579	1466	1419	1374	1598	1461	1518	1524	1396	1483
b0089	1328	1414	1319	1215	1246	1192	1124	1542	1479	1447	1461	1400
