Geneid,PD_117_R10_S05#,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R14_S05#,PD_117_R15_S05#,PD_117_R16_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_117_R8_S05#1,PD_117_R9_S05#1
b0001,11.08166537,10.26882575,10.23332922,9.989377586,10.28113065,9.962699883,9.636619867,11.05267315,10.98991167,11.09229917,10.9231312,11.26752727
b0002,7.645440155,9.522497476,9.117752658,9.139082699,10.19715336,9.574051091,9.451363396,7.754346515,7.821709136,7.905214671,7.772760001,7.565976801
b0003,7.640768533,9.083923123,8.782278423,8.742474048,9.637225726,9.655356394,9.667506084,7.602189178,7.711154599,7.781399296,7.776328858,7.781513312
b0004,7.38326402,8.404835019,8.363498084,8.21547754,9.037702786,9.027710154,9.083591519,7.274508822,7.244816158,7.338556245,7.570289075,7.632955365
b0005,4.077731829,5.696586367,5.560235618,5.819425116,5.957660086,6.105837594,5.817777492,3.851236801,4.256504076,3.998828369,3.815343278,3.77205538
b0006,5.828887316,5.493464567,5.609610807,5.431792242,5.687641758,5.664610106,5.863990458,5.570776895,5.525340287,5.7217502,5.885024143,5.926879396
b0007,3.655180385,3.857562712,3.733863477,3.795602976,3.761116722,3.595342009,3.549772266,3.525132115,3.671381204,3.816356525,3.680555334,3.561954934
b0008,10.00846866,10.53975101,10.60048458,10.58642568,10.92552703,10.87154679,10.92607864,9.907968956,9.900071306,9.929520418,9.88101315,9.897070014
b0009,5.219202535,5.763715366,5.876281859,5.78466559,6.236231242,6.270200459,6.26005099,5.102582811,5.143399906,5.247656894,5.51173472,5.325500622
b0010,6.09091898,5.919390762,5.818085279,5.658988863,5.713791842,5.5110992,5.707218969,6.010570308,5.994719825,5.840096896,5.993623874,6.111271509
b0011,2.736374618,2.784861686,2.888248053,2.866486706,2.630807704,3.056494718,2.617345231,2.744983606,2.764639958,2.570517492,2.353364265,2.591536556
b0012,0.604136081,0.669174405,0.848536852,0.657930391,0.98421912,1.229074248,1.349280907,0.597452123,0.226873313,0.428262931,0.235848184,0.0
b0013,1.413712315,1.846680239,1.766392212,1.388404007,1.840990704,1.912703454,1.627419528,0.496138824,1.015622608,1.026330724,1.046556144,0.882922515
b0014,9.347222015,10.18250749,10.14504222,10.20348629,10.24188498,9.981437295,10.05321585,9.208984684,9.340617836,9.273554587,9.335756883,9.473496977
b0015,7.030843556,7.643172103,7.773386639,7.78132289,7.674442928,7.521099923,7.621775314,7.019565251,7.211724813,7.132419789,7.24166778,7.262033277
b0016,5.441820881,6.959281707,6.969127915,7.113826721,6.60914791,6.77699566,6.770048885,5.252221536,5.344630145,5.252662507,5.363551413,5.33052396
b0018,4.670892721,4.913472364,5.400161545,5.644777677,4.905848162,4.922684697,4.911937285,5.255609528,5.006071351,4.81735518,5.13398285,5.294846552
b4412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0019,7.062786633,6.476855866,6.617629166,6.422623463,6.157796217,6.096211497,6.074557918,7.529395909,7.478739269,7.545467254,7.214116955,7.294544106
b0020,6.042395869,6.055965924,5.946425531,6.06875156,5.860294154,5.665390388,5.679012805,6.10226277,6.124889011,6.13812497,6.060373912,6.068833145
b0021,2.666591458,2.142254257,1.888411696,1.080222689,1.706611051,1.687950844,1.20539206,3.259292391,3.349928116,3.392065961,3.679949258,3.77801223
b0022,5.612512267,3.82407481,3.394610764,3.437688447,3.744420618,4.215886892,3.692018839,5.566040146,5.504003288,5.485994928,5.72554813,5.614625269
b0023,10.69072372,9.977978551,10.07477082,9.920844525,10.29236187,10.22037256,10.43505494,10.47859328,10.32060066,10.40703832,10.6705074,10.70130149
b0024,5.041364095,5.829837308,5.652694346,5.533165503,5.788485921,5.750624893,5.277409302,5.16651357,5.098313597,4.759004926,5.075201054,5.027271643
b0025,8.208425796,8.297900828,8.223207022,8.215395466,8.372322997,8.4178408,8.446992693,8.118246902,8.091899541,8.066669234,8.103590326,8.023533314
b0026,8.003346023,8.528410792,8.491632175,8.535816641,8.571612309,8.530168286,8.651636264,8.169704971,8.232917262,8.200278263,8.091741973,8.11293497
b0027,6.916759899,7.499928466,7.509377241,7.495532289,7.393341993,7.427834882,7.449698629,7.244225881,7.29305784,7.301677222,7.207691481,7.210475192
b0028,7.528784579,8.039872542,7.959774027,7.946408687,7.908044135,7.945703785,7.957783823,7.323795373,7.431262997,7.394214994,7.304599992,7.477347064
b0029,6.527474286,6.979143937,7.10501975,7.098343259,7.075522893,7.108442713,7.09548149,6.555752816,6.548405434,6.561220765,6.504015529,6.502867079
b0030,5.808962549,6.559302575,6.76704248,6.895504407,6.63683411,6.437527469,6.333505062,5.324035888,5.378964213,5.1352164,5.595571158,5.695227881
b0031,6.454684856,6.551745699,6.31008965,6.257389493,5.950590682,6.23579583,6.016084243,6.531459272,6.56741219,6.496600783,6.841960737,6.756119262
