"","loadings.PC1","loadings.PC2","loadings.PC3","loadings.PC4","loadings.PC5","loadings.PC6","loadings.PC7","loadings.PC8","loadings.PC9","loadings.PC10","loadings.PC11","loadings.PC12"
"b0495",0.0145136960994497,0.0239002156449167,0.00819391817257501,-0.00682822724395441,0.0274704364555645,-0.0193281719107824,-0.0105274171068388,-0.00500892132053114,0.0156563060961984,0.000768562325459392,-0.0149445077006939,-0.549027280127618
"b4733",-0.00547757651215504,-0.0125120475157996,-0.0335006604948006,0.0100218592491674,-0.0549946497130492,0.00205439215973603,0.0237194488057404,0.00527644640319337,0.00614268245268776,-0.00848943971274489,-0.0198379325520863,0.483436186417636
"b4666",-0.00547757651215478,-0.0125120475157996,-0.0335006604948017,0.0100218592491684,-0.0549946497130497,0.00205439215973622,0.0237194488057393,0.0052764464031934,0.00614268245268586,-0.00848943971274505,-0.0198379325520849,-0.0842970615678532
"b0029",0.0205059485783828,0.00678661090159177,0.00540835719295958,-0.000320498459281958,-0.0035548848267959,0.0111912719854866,-0.000629059964115118,-0.00329612037707579,0.0018015182665885,-0.0023930502187462,-0.000586781425740926,0.260320419127459
"b0452",0.0073832504815007,-0.0333904849685158,-0.0114773301395474,-0.0241072913354697,-0.0171216045279832,-0.0246747819461777,0.00527562271055554,-0.00754060466764556,-0.00724281719511851,-0.0242768957136296,0.0107270416719096,0.326230847484402
"b0524",-0.0158713858838665,-0.0229738001955041,-0.00640967157108508,0.021795880456277,0.00575029965039797,-0.00768862759243578,0.0223188598188038,-0.00249219817827054,-0.0065903389505038,-0.00388048206589798,0.00300235752451592,0.0729608727775864
"b0558",0.0062512027667328,-0.0227046951713059,-0.0172977884254197,-0.0318415412526865,-0.0402216689677597,-0.000110519554290767,-0.00730527292933105,-0.031949911609365,0.0105216504372673,-0.0208833201902476,-0.00748270610101023,-0.238149382584978
"b0600",0.0177408641624319,-0.0186162432610851,0.0126088166329938,0.0200311553131338,-0.00315708949428764,0.00131947973830678,-0.000631214109696567,-0.00422551557476666,0.00125693512772027,0.00903972154601218,0.00208352461711619,-0.33426839908357
"b0635",0.0197638300249237,-0.0121005984239968,-0.00555395313380851,0.00844895797231022,-0.00820669505061046,-0.00138338990100092,0.00107215897923761,-0.00402756856257506,-0.00443197772025139,0.0108512653355679,0.00449456045157283,-0.0916197102942047
"b0795",-0.0160885748254041,-0.0222805801605991,-0.0165906426848715,0.0162772151623226,-0.0109417664911016,-0.00100744799079468,-0.00207598857982846,0.000362187226237805,-0.00558845624389611,0.0181898111496839,0.0117905465537291,0.224175866301587
"b0822",0.000136495011567118,-0.0380842745256865,-0.00670619184414563,0.00166811387437538,-0.00722434132205324,-0.0319924354282884,0.0307277002825344,0.00735457115688124,-0.00886872628775838,-0.0114330858332895,0.00079468262472868,0.203686433171747
