"","metadata.LibraryLayout","metadata.Platform","metadata.Run","metadata.R1","metadata.R2","metadata.project","metadata.condition","metadata.strain_ID","metadata.process_condition","metadata.experiment_run","metadata.strain_name","metadata.reference_condition","metadata.passed_fastqc","metadata.passed_reads_mapped_to_CDS","metadata.passed_global_correlation","metadata.skip","metadata.full_name","metadata.passed_replicate_correlations"
"PD_117_R10_S05#","PAIRED","DNBSEQ",NA,"PD_117_R10_S05#_1.fq.gz","PD_117_R10_S05#_2.fq.gz","Trp_scale-down","DDB35_scale-down","DDB35","scale-down","DDB_117","WT","DDB35_control","True","True","True",NA,"Trp_scale-down:DDB35_scale-down","True"
"PD_117_R11_S05#","PAIRED","DNBSEQ",NA,"PD_117_R11_S05#_1.fq.gz","PD_117_R11_S05#_2.fq.gz","Trp_scale-down","HMP3071_control","HMP3071","control","DDB_117","TP","DDB35_control","True","True","True",NA,"Trp_scale-down:HMP3071_control","True"
"PD_117_R12_S05#","PAIRED","DNBSEQ",NA,"PD_117_R12_S05#_1.fq.gz","PD_117_R12_S05#_2.fq.gz","Trp_scale-down","HMP3071_control","HMP3071","control","DDB_117","TP","DDB35_control","True","True","True",NA,"Trp_scale-down:HMP3071_control","True"
"PD_117_R13_S05#","PAIRED","DNBSEQ",NA,"PD_117_R13_S05#_1.fq.gz","PD_117_R13_S05#_2.fq.gz","Trp_scale-down","HMP3071_control","HMP3071","control","DDB_117","TP","DDB35_control","True","True","True",NA,"Trp_scale-down:HMP3071_control","True"
"PD_117_R14_S05#","PAIRED","DNBSEQ",NA,"PD_117_R14_S05#_1.fq.gz","PD_117_R14_S05#_2.fq.gz","Trp_scale-down","HMP3071_scale-down","HMP3071","scale-down","DDB_117","TP","DDB35_control","True","True","True",NA,"Trp_scale-down:HMP3071_scale-down","True"
"PD_117_R15_S05#","PAIRED","DNBSEQ",NA,"PD_117_R15_S05#_1.fq.gz","PD_117_R15_S05#_2.fq.gz","Trp_scale-down","HMP3071_scale-down","HMP3071","scale-down","DDB_117","TP","DDB35_control","True","True","True",NA,"Trp_scale-down:HMP3071_scale-down","True"
"PD_117_R16_S05#","PAIRED","DNBSEQ",NA,"PD_117_R16_S05#_1.fq.gz","PD_117_R16_S05#_2.fq.gz","Trp_scale-down","HMP3071_scale-down","HMP3071","scale-down","DDB_117","TP","DDB35_control","True","True","True",NA,"Trp_scale-down:HMP3071_scale-down","True"
"PD_117_R5_S05#1","PAIRED","DNBSEQ",NA,"PD_117_R5_S05#1_1.fq.gz","PD_117_R5_S05#1_2.fq.gz","Trp_scale-down","DDB35_control","DDB35","control","DDB_117","WT","DDB35_control","True","True","True",NA,"Trp_scale-down:DDB35_control","True"
"PD_117_R6_S05#1","PAIRED","DNBSEQ",NA,"PD_117_R6_S05#1_1.fq.gz","PD_117_R6_S05#1_2.fq.gz","Trp_scale-down","DDB35_control","DDB35","control","DDB_117","WT","DDB35_control","True","True","True",NA,"Trp_scale-down:DDB35_control","True"
"PD_117_R7_S05#1","PAIRED","DNBSEQ",NA,"PD_117_R7_S05#1_1.fq.gz","PD_117_R7_S05#1_2.fq.gz","Trp_scale-down","DDB35_control","DDB35","control","DDB_117","WT","DDB35_control","True","True","True",NA,"Trp_scale-down:DDB35_control","True"
"PD_117_R8_S05#1","PAIRED","DNBSEQ",NA,"PD_117_R8_S05#1_1.fq.gz","PD_117_R8_S05#1_2.fq.gz","Trp_scale-down","DDB35_scale-down","DDB35","scale-down","DDB_117","WT","DDB35_control","True","True","True",NA,"Trp_scale-down:DDB35_scale-down","True"
"PD_117_R9_S05#1","PAIRED","DNBSEQ",NA,"PD_117_R9_S05#1_1.fq.gz","PD_117_R9_S05#1_2.fq.gz","Trp_scale-down","DDB35_scale-down","DDB35","scale-down","DDB_117","WT","DDB35_control","True","True","True",NA,"Trp_scale-down:DDB35_scale-down","True"
