	LibraryLayout	Platform	Run	R1	R2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	project	condition	strain_ID	process_condition	experiment_run	strain_name	reference_condition	skip	full_name	passed_replicate_correlations
PD_117_R11	PAIRED	DNBSEQ		PD_117_R11_S05#_1.fq.gz	PD_117_R11_S05#_2.fq.gz	True	True	True	Trp_scale-down	HMP3071_control	HMP3071	control	DDB_117	TP	HMP3071_control		Trp_scale-down:HMP3071_control	True
PD_117_R12	PAIRED	DNBSEQ		PD_117_R12_S05#_1.fq.gz	PD_117_R12_S05#_2.fq.gz	True	True	True	Trp_scale-down	HMP3071_control	HMP3071	control	DDB_117	TP	HMP3071_control		Trp_scale-down:HMP3071_control	True
PD_117_R13	PAIRED	DNBSEQ		PD_117_R13_S05#_1.fq.gz	PD_117_R13_S05#_2.fq.gz	True	True	True	Trp_scale-down	HMP3071_control	HMP3071	control	DDB_117	TP	HMP3071_control		Trp_scale-down:HMP3071_control	True
PD_117_R14	PAIRED	DNBSEQ		PD_117_R14_S05#_1.fq.gz	PD_117_R14_S05#_2.fq.gz	True	True	True	Trp_scale-down	HMP3071_scale-down	HMP3071	scale-down	DDB_117	TP	HMP3071_control		Trp_scale-down:HMP3071_scale-down	True
PD_117_R15	PAIRED	DNBSEQ		PD_117_R15_S05#_1.fq.gz	PD_117_R15_S05#_2.fq.gz	True	True	True	Trp_scale-down	HMP3071_scale-down	HMP3071	scale-down	DDB_117	TP	HMP3071_control		Trp_scale-down:HMP3071_scale-down	True
PD_117_R16	PAIRED	DNBSEQ		PD_117_R16_S05#_1.fq.gz	PD_117_R16_S05#_2.fq.gz	True	True	True	Trp_scale-down	HMP3071_scale-down	HMP3071	scale-down	DDB_117	TP	HMP3071_control		Trp_scale-down:HMP3071_scale-down	True
PD_126_R5	PAIRED	DNBSEQ		PD_126_R5_S1_1.fq.gz	PD_126_R5_S1_2.fq.gz	True	True	True	Trp_scale-down	HMP3071_control	HMP3071	control	DDB_126	TP	HMP3071_control		Trp_scale-down:HMP3071_control	True
PD_126_R6	PAIRED	DNBSEQ		PD_126_R6_S1_1.fq.gz	PD_126_R6_S1_2.fq.gz	True	True	True	Trp_scale-down	HMP3071_control	HMP3071	control	DDB_126	TP	HMP3071_control		Trp_scale-down:HMP3071_control	True
PD_126_R7	PAIRED	DNBSEQ		PD_126_R7_S1_1.fq.gz	PD_126_R7_S1_2.fq.gz	True	True	True	Trp_scale-down	HMP3071_control	HMP3071	control	DDB_126	TP	HMP3071_control		Trp_scale-down:HMP3071_control	True
PD_126_R8	PAIRED	DNBSEQ		PD_126_R8_S1_1.fq.gz	PD_126_R8_S1_2.fq.gz	True	True	True	Trp_scale-down	HMP3071_scale-down	HMP3071	scale-down	DDB_126	TP	HMP3071_control		Trp_scale-down:HMP3071_scale-down	True
PD_126_R9	PAIRED	DNBSEQ		PD_126_R9_S1_1.fq.gz	PD_126_R9_S1_2.fq.gz	True	True	True	Trp_scale-down	HMP3071_scale-down	HMP3071	scale-down	DDB_126	TP	HMP3071_control		Trp_scale-down:HMP3071_scale-down	True
PD_126_R10	PAIRED	DNBSEQ		PD_126_R10_S1_1.fq.gz	PD_126_R10_S1_2.fq.gz	True	True	True	Trp_scale-down	HMP3071_scale-down	HMP3071	scale-down	DDB_126	TP	HMP3071_control		Trp_scale-down:HMP3071_scale-down	True
PD_126_R11	PAIRED	DNBSEQ		PD_126_R11_S1_1.fq.gz	PD_126_R11_S1_2.fq.gz	True	True	True	Trp_scale-down	SDT714_control	SDT714	control	DDB_126	TP_del-fliA	HMP3071_control		Trp_scale-down:SDT714_control	True
PD_126_R12	PAIRED	DNBSEQ		PD_126_R12_S1_1.fq.gz	PD_126_R12_S1_2.fq.gz	True	True	True	Trp_scale-down	SDT714_control	SDT714	control	DDB_126	TP_del-fliA	HMP3071_control		Trp_scale-down:SDT714_control	True
PD_126_R13	PAIRED	DNBSEQ		PD_126_R13_S1_1.fq.gz	PD_126_R13_S1_2.fq.gz	True	True	True	Trp_scale-down	SDT714_control	SDT714	control	DDB_126	TP_del-fliA	HMP3071_control		Trp_scale-down:SDT714_control	True
PD_126_R14	PAIRED	DNBSEQ		PD_126_R14_S1_1.fq.gz	PD_126_R14_S1_2.fq.gz	True	True	True	Trp_scale-down	SDT714_scale-down	SDT714	scale-down	DDB_126	TP_del-fliA	HMP3071_control		Trp_scale-down:SDT714_scale-down	True
PD_126_R15	PAIRED	DNBSEQ		PD_126_R15_S1_1.fq.gz	PD_126_R15_S1_2.fq.gz	True	True	True	Trp_scale-down	SDT714_scale-down	SDT714	scale-down	DDB_126	TP_del-fliA	HMP3071_control		Trp_scale-down:SDT714_scale-down	True
PD_126_R16	PAIRED	DNBSEQ		PD_126_R16_S1_1.fq.gz	PD_126_R16_S1_2.fq.gz	True	True	True	Trp_scale-down	SDT714_scale-down	SDT714	scale-down	DDB_126	TP_del-fliA	HMP3071_control		Trp_scale-down:SDT714_scale-down	True
