Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],potassium dihydrogen phosphate [g/L],pyruvic acid [g/L],succinic acid [g/L],tryptophan [g/L],CDW_1 [g/L],CDW_2 [g/L],CDW_3 [g/L],Ammonium [g/L]
DDB_PD_117_AMBR_R05__S01,DDB_PD_117_AMBR,DDB_PD_117_AMBR_DDB35-005_R05_Main_,R05,S01,12.08530946,7.0,13.49,11.143792852902099,0.77170909897886,0.433203599133711,0.13990338405443,0.58233018845206,0.3302147539537345,11.31188204208305,0.0,0.0,,4.4999999999999485,4.5000000000001705,4.2999999999999705,
DDB_PD_117_AMBR_R05__S02,DDB_PD_117_AMBR,DDB_PD_117_AMBR_DDB35-005_R05_Main_,R05,S02,15.37231744,5.0,36.85,0.0,0.29276777714915597,0.4452409836795945,0.0,0.0,0.0,10.999188740324,0.0,0.0,,10.599999999999943,10.700000000000154,10.000000000000009,
DDB_PD_117_AMBR_R05__S03,DDB_PD_117_AMBR,DDB_PD_117_AMBR_DDB35-005_R05_Main_,R05,S03,35.50149559,3.5,88.0,0.0,0.0,0.288230472574291,0.0,0.0,0.0,8.292849442518751,0.0,0.0,,25.249999999999993,25.00000000000002,24.75000000000005,
DDB_PD_117_AMBR_R05__S04,DDB_PD_117_AMBR,DDB_PD_117_AMBR_DDB35-005_R05_Main_,R05,S04,55.55458309,3.5,164.6,0.0,0.0,0.0,0.0,0.0,0.0,5.7982609609891,0.0,0.0,,52.59999999999998,52.4,52.8000000000004,
DDB_PD_117_AMBR_R05__S05,DDB_PD_117_AMBR,DDB_PD_117_AMBR_DDB35-005_R05_Main_,R05,S05,75.57944162,7.5,280.8,0.0,0.0,0.0,0.0,0.0,0.1049750395630175,2.97281878617666,0.0,0.348699214641813,,92.30000000000004,92.30000000000004,91.8000000000001,0.7655752066997711
DDB_PD_117_AMBR_R06__S01,DDB_PD_117_AMBR,DDB_PD_117_AMBR_DDB35-005_R06_Main_,R06,S01,12.03608226,7.0,13.39,16.22801736201025,1.07440515356112,0.611978918365285,0.2319708775823455,0.8110945385908851,0.527165291163615,15.89599205174185,0.20801935831387347,0.1410967915736035,,4.4999999999999485,4.899999999999904,4.4000000000001815,
DDB_PD_117_AMBR_R06__S02,DDB_PD_117_AMBR,DDB_PD_117_AMBR_DDB35-005_R06_Main_,R06,S02,15.27568605,5.0,36.35,0.0,0.341062344337444,0.545320165526635,0.0,0.0,0.0,13.1992176166091,0.0,0.0,,10.000000000000009,10.699999999999932,9.90000000000002,
DDB_PD_117_AMBR_R06__S03,DDB_PD_117_AMBR,DDB_PD_117_AMBR_DDB35-005_R06_Main_,R06,S03,35.31895455,3.5,92.35,0.0,0.0,0.331901679730788,0.0,0.0,0.0,9.1084973324072,0.0,0.0,,25.74999999999994,24.75000000000005,26.500000000000412,
DDB_PD_117_AMBR_R06__S04,DDB_PD_117_AMBR,DDB_PD_117_AMBR_DDB35-005_R06_Main_,R06,S04,55.37657239,3.5,166.5,0.0,0.0,0.0,0.0,0.0,0.0,6.76051713751315,0.0,0.0,,53.600000000000314,53.79999999999985,54.39999999999978,
DDB_PD_117_AMBR_R06__S05,DDB_PD_117_AMBR,DDB_PD_117_AMBR_DDB35-005_R06_Main_,R06,S05,75.40576065,7.5,277.2,0.0,0.0,0.0,0.0,0.0,0.126443084931645,3.677713258793505,0.0,0.3345260721169745,,93.19999999999995,92.8,92.60000000000001,0.7438574557796809
DDB_PD_117_AMBR_R07__S01,DDB_PD_117_AMBR,DDB_PD_117_AMBR_DDB35-005_R07_Main_,R07,S01,12.06020986,7.0,13.94,18.3459533526542,1.29690335892795,0.7263373603262501,0.2475387355527865,0.90753012817614,0.5250243124017749,18.25333011724035,0.228048277872627,0.1480307195436065,,4.8000000000001375,4.6000000000001595,4.4999999999999485,
