Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],lactose [g/L],potassium dihydrogen phosphate [g/L],pyruvic acid [g/L],succinic acid [g/L],tryptophan [g/L],CDW_1 [g/L],CDW_2 [g/L],CDW_3 [g/L]
DDB_PD_126_AMBR_R05__S01,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R05_Main_,R05,S01,12.24425567,7.0,4.575,13.252213168292,0.34935375575187855,0.19494557849323801,0.0,0.0,0.0,0.0,9.75903010119135,0.0,0.0,0.0,1.9,2.2,1.8
DDB_PD_126_AMBR_R05__S02,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R05_Main_,R05,S02,18.88738832,5.0,29.18,0.0,0.0857075812739625,0.197248584116636,0.0,0.0,0.0,0.0,8.373409352631949,0.0,0.0,0.264017958525026,7.5,7.1,7.9
DDB_PD_126_AMBR_R05__S03,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R05_Main_,R05,S03,38.92987566,5.5,68.25,0.0,0.08067022580441649,0.2473852958562485,0.0,0.0,0.0,0.0,9.1474140417047,0.0,0.045158076026651006,0.91755614475991,15.0,16.0,16.0
DDB_PD_126_AMBR_R05__S04,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R05_Main_,R05,S04,58.9277921,5.5,116.3,0.0,0.4618986092029495,0.3001325218226215,0.0,0.2159573542530745,0.06203425473428199,0.0,7.413821045753149,0.0,0.15981344835456252,1.06504240661616,32.0,31.9,31.6
DDB_PD_126_AMBR_R05__S05,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R05_Main_,R05,S05,78.92789302,7.5,184.9,0.0,0.659381217110625,0.3032646633704365,0.0,0.35575151498951996,0.0,0.0,4.45701406762598,0.0,0.2602466039928595,1.371155523815646,50.6,52.4,52.1
DDB_PD_126_AMBR_R06__S01,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R06_Main_,R06,S01,12.18476735,7.0,4.49,12.299957882085451,0.4731221914995135,0.1834757088654495,0.078934714304872,0.0,0.0,0.0,9.3856136430421,0.1697308954287205,0.026635439340350498,0.0,1.8,1.7,0.7
DDB_PD_126_AMBR_R06__S02,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R06_Main_,R06,S02,18.79789775,5.0,28.31,0.0,0.0987481245692,0.1975055842352795,0.0,0.0,0.0,0.0,8.3230379100912,0.0,0.060770652275677,0.270404743876026,7.5,7.4,6.5
DDB_PD_126_AMBR_R06__S03,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R06_Main_,R06,S03,38.86918416,5.5,69.9,0.0,0.0653295183990575,0.287470157725698,0.0,0.0,0.0,0.0,9.94175017300815,0.0,0.0,1.017368289811686,16.33333333,15.83333333,11.33333333
DDB_PD_126_AMBR_R06__S04,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R06_Main_,R06,S04,58.86684337,5.5,102.75,0.0,0.45921174740009796,0.2822002072080305,0.0,0.17318499176185698,0.0,0.0,7.27643792598405,0.0,0.1294894185476915,1.122730789569032,31.4,31.7,31.7
DDB_PD_126_AMBR_R06__S05,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R06_Main_,R06,S05,78.86456147,7.5,194.7,0.0,0.78533267389636,0.409529979118268,0.0,0.52923081894184,0.1071755132993195,0.0,5.7669374065987995,0.0,0.409330498109873,2.3137448407302,52.3,52.4,52.5
DDB_PD_126_AMBR_R07__S01,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R07_Main_,R07,S01,12.23455761,7.0,4.26,11.64212104180475,0.3490165214268125,0.1715857396291705,0.0,0.0,0.0,0.0,8.9205031677985,0.0,0.0,0.0,1.3,1.4,1.0
DDB_PD_126_AMBR_R07__S02,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R07_Main_,R07,S02,19.09979736,5.0,29.02,0.0,0.0969589254144905,0.20024620646590352,0.0,0.0,0.0,0.0,8.5303069541862,0.0,0.057150167076465495,0.279321967954104,6.9,7.4,7.8
DDB_PD_126_AMBR_R07__S03,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R07_Main_,R07,S03,39.1376703,5.5,62.15,0.0,0.08016011133780551,0.267607463419055,0.0,0.0,0.0,0.0,9.60889011064885,0.0,0.0525663263031955,0.846424728839812,15.66666667,13.83333333,14.16666667
DDB_PD_126_AMBR_R07__S04,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R07_Main_,R07,S04,59.13449132,5.5,103.6,0.0,0.47908956277974346,0.2944463732816675,0.0,0.1848919866605625,0.0,0.0,7.757629126254449,0.0,0.132105466902167,1.296384271863344,32.0,32.1,32.3
DDB_PD_126_AMBR_R07__S05,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R07_Main_,R07,S05,79.13714792,7.5,190.1,0.0,0.761142772953375,0.32111474869861445,0.0,0.52176601359434,0.09202963872012801,0.0,5.5828438343082,0.0,0.38592061528877347,2.1825470737092,51.4,51.6,52.0
DDB_PD_126_AMBR_R08__S01,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R08_Main_,R08,S01,12.28465441,7.0,4.465,13.669155974015151,0.393419111148021,0.2000446618173225,0.0,0.0,0.0,0.0,9.97444366808485,0.0,0.027279137027654603,0.0,1.7,1.9,1.4
DDB_PD_126_AMBR_R08__S02,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R08_Main_,R08,S02,18.94712765,5.0,28.71,0.0,0.1063025139864815,0.19923808212899852,0.0,0.0,0.0,0.0,8.41078869086855,0.0,0.0602447858823835,0.28043464193551,7.5,6.3,6.9
DDB_PD_126_AMBR_R08__S03,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R08_Main_,R08,S03,39.04311548,5.5,60.7,0.0,0.0785344920620285,0.2287865163187505,0.0,0.0,0.0,0.0,9.14846383915695,0.0,0.052989308656038,0.978751931681572,13.0,13.0,13.33333333
DDB_PD_126_AMBR_R08__S04,DDB_PD_126_AMBR,DDB_PD_126_AMBR_HMP3071-003_R08_Main_,R08,S04,59.01922592,5.5,101.75,0.0,0.4931211624021245,0.27544452350215454,0.0,0.2700143173869135,0.03591386630449385,0.0,7.9381198639684,0.0,0.134261278646995,1.34756659881166,31.0,31.8,31.6
